[0.000000] (-) TimerEvent: {}
[0.000859] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.120016] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/create.sh\n'}
[0.120225] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client_uros_packages.repos\n'}
[0.120515] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/configure.sh\n'}
[0.122525] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/package.xml\n'}
[0.122840] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/flash.sh\n'}
[0.123427] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host\n'}
[0.124716] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/dev_uros_packages.repos\n'}
[0.126332] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic\n'}
[0.126638] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/build.sh\n'}
[0.126739] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/client-host-colcon.meta\n'}
[0.126898] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/create.sh\n'}
[0.127057] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/client_host_packages.repos\n'}
[0.127214] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/package.xml\n'}
[0.127410] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/generic/flash.sh\n'}
[0.127674] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/client_ros2_packages.txt\n'}
[0.127831] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/host/dev_ros2_packages.txt\n'}
[0.127992] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr\n'}
[0.128151] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/dev_uros_packages.repos\n'}
[0.129448] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic\n'}
[0.130521] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/client-colcon.meta\n'}
[0.131149] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/build.sh\n'}
[0.132528] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/supported_platforms\n'}
[0.133130] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/board.repos\n'}
[0.133560] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/create.sh\n'}
[0.133780] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/client_uros_packages.repos\n'}
[0.133923] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/configure.sh\n'}
[0.134090] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/package.xml\n'}
[0.134402] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/generic/flash.sh\n'}
[0.134566] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/list_apps.sh\n'}
[0.134726] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/zephyr/dev_ros2_packages.txt\n'}
[0.134885] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android\n'}
[0.135056] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/dev_uros_packages.repos\n'}
[0.135379] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic\n'}
[0.135530] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/client-colcon.meta\n'}
[0.135951] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/build.sh\n'}
[0.136120] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/create.sh\n'}
[0.136282] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/client_uros_packages.repos\n'}
[0.136459] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/package.xml\n'}
[0.136618] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/generic/flash.sh\n'}
[0.136782] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/android/dev_ros2_packages.txt\n'}
[0.136891] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/client_uros_packages.repos\n'}
[0.137529] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib\n'}
[0.137670] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/dev_uros_packages.repos\n'}
[0.137767] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic\n'}
[0.138205] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/client-colcon.meta\n'}
[0.138586] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/build.sh\n'}
[0.139142] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/demo_toolchain.cmake\n'}
[0.139747] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/create.sh\n'}
[0.140021] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/client_uros_packages.repos\n'}
[0.140266] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/package.xml\n'}
[0.140546] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/generic/flash.sh\n'}
[0.140658] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/generate_lib/dev_ros2_packages.txt\n'}
[0.140810] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed\n'}
[0.141073] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/dev_uros_packages.repos\n'}
[0.141382] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic\n'}
[0.141560] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/build.sh\n'}
[0.141847] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/supported_platforms\n'}
[0.142042] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/board.repos\n'}
[0.142202] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/create.sh\n'}
[0.142306] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/client_uros_packages.repos\n'}
[0.142512] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/package.xml\n'}
[0.142799] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/generic/flash.sh\n'}
[0.143056] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/list_apps.sh\n'}
[0.143271] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/mbed/dev_ros2_packages.txt\n'}
[0.143423] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/agent_uros_packages.repos\n'}
[0.143582] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra\n'}
[0.143741] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos\n'}
[0.143899] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5\n'}
[0.144057] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta\n'}
[0.144221] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh\n'}
[0.144382] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos\n'}
[0.144520] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh\n'}
[0.144678] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos\n'}
[0.144836] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh\n'}
[0.144993] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh\n'}
[0.145150] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/list_apps.sh\n'}
[0.145307] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt\n'}
[0.145478] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/client_ros2_packages.txt\n'}
[0.145639] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian\n'}
[0.145797] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/dev_uros_packages.repos\n'}
[0.145953] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic\n'}
[0.146111] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/client-colcon.meta\n'}
[0.146268] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/build.sh\n'}
[0.146528] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/supported_platforms\n'}
[0.146770] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/create.sh\n'}
[0.147030] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/client_uros_packages.repos\n'}
[0.147173] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/configure.sh\n'}
[0.147331] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/generic/flash.sh\n'}
[0.147625] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/raspbian/dev_ros2_packages.txt\n'}
[0.147845] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/agent_ros2_packages.txt\n'}
[0.148046] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/utils.sh\n'}
[0.148367] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/create_ws.sh\n'}
[0.148632] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/create_agent_ws.sh\n'}
[0.148945] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/create_firmware_ws.sh\n'}
[0.149305] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/configure_firmware.sh\n'}
[0.149723] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/flash_firmware.sh\n'}
[0.150059] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/build_firmware.sh\n'}
[0.150388] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/build_agent.sh\n'}
[0.150697] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/yaml_filter.py\n'}
[0.151162] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/clean_env.sh\n'}
[0.151497] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/lib/micro_ros_setup/component\n'}
[0.151720] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.201735] (-) TimerEvent: {}
[0.218908] (micro_ros_setup) JobEnded: {'identifier': 'micro_ros_setup', 'rc': 0}
[0.220210] (-) EventReactorShutdown: {}
